Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"IRELAND (REPUBLIC OF) RegS","Treasuries","Fixed Income","990,274.98","1.68","990,274.98","724,000.00","-","IE00B4S3JD47","B4S3JD4","132.56","Ireland","-","USD","2.01","-0.60","0.83","Mar 20, 2023","3.90","2.02","-","-0.60","2.02","-0.60","EUR","Mar 20, 2013","Mar 20, 2013"
"BELGIUM (KINGDOM OF)","Treasuries","Fixed Income","961,754.60","1.63","961,754.60","725,000.00","-","BE0000325341","B77GQB2","130.77","Belgium","-","USD","1.60","-0.66","0.83","Sep 28, 2022","4.25","1.60","-","-0.66","1.60","-0.66","EUR","Jan 24, 2012","Jan 24, 2012"
"AUSTRALIA (COMMONWEALTH OF)","Treasuries","Fixed Income","946,997.20","1.61","946,997.20","1,175,000.00","-","AU000XCLWAW9","BF15KQ4","80.21","Australia","-","USD","1.75","0.10","1.29","Nov 21, 2022","2.25","1.75","-","0.10","1.75","0.10","AUD","Oct 13, 2017","May 21, 2017"
"NORWAY (KINGDOM OF)","Treasuries","Fixed Income","941,485.47","1.60","941,485.47","7,600,000.00","-","NO0010646813","B8J4D98","12.22","Norway","-","USD","2.22","0.41","8.48","May 24, 2023","2.00","2.22","-","0.41","2.22","0.41","NOK","May 24, 2012","May 24, 2012"
"BELGIUM (KINGDOM OF) RegS","Treasuries","Fixed Income","904,845.75","1.53","904,845.75","690,000.00","-","BE0000328378","B98Y028","129.41","Belgium","-","USD","2.31","-0.66","0.83","Jun 22, 2023","2.25","2.32","-","-0.66","2.32","-0.66","EUR","Jan 16, 2013","Jan 16, 2013"
"JAPAN (GOVERNMENT OF) 5YR #134","Treasuries","Fixed Income","864,399.06","1.47","864,399.06","90,000,000.00","-","JP1051341HC3","BF0WKM2","0.96","Japan","-","USD","1.86","-0.13","104.59","Dec 20, 2022","0.10","1.86","-","-0.13","1.86","-0.13","JPY","Dec 20, 2017","Dec 20, 2017"
"JAPAN (GOVERNMENT OF) 5YR #132","Treasuries","Fixed Income","815,425.99","1.38","815,425.99","85,000,000.00","-","JP1051321H69","BF0MZN8","0.96","Japan","-","USD","1.36","-0.13","104.59","Jun 20, 2022","0.10","1.36","-","-0.13","1.36","-0.13","JPY","Jun 20, 2017","Jun 20, 2017"
"FRANCE (REPUBLIC OF) RegS","Treasuries","Fixed Income","801,322.39","1.36","801,322.39","620,000.00","-","FR0011486067","B8HTNM8","127.74","France","-","USD","2.25","-0.67","0.83","May 25, 2023","1.75","2.25","-","-0.67","2.25","-0.67","EUR","May 07, 2013","May 25, 2012"
"NETHERLANDS (KINGDOM OF)","Treasuries","Fixed Income","776,601.83","1.32","776,601.83","600,000.00","-","NL0010418810","B9M3PL5","128.22","Netherlands","-","USD","2.39","-0.69","0.83","Jul 15, 2023","1.75","2.39","-","-0.69","2.39","-0.69","EUR","Mar 22, 2013","Mar 22, 2013"
"FRANCE (REPUBLIC OF) RegS","Treasuries","Fixed Income","775,088.48","1.31","775,088.48","600,000.00","-","FR0011196856","B79XGY4","126.30","France","-","USD","1.18","-0.62","0.83","Apr 25, 2022","3.00","1.18","-","-0.62","1.18","-0.62","EUR","Feb 07, 2012","Apr 25, 2011"
"SPAIN (KINGDOM OF)","Treasuries","Fixed Income","758,745.52","1.29","758,745.52","620,000.00","-","ES0000012F84","BL97KL9","122.38","Spain","-","USD","2.23","-0.52","0.83","Apr 30, 2023","0.00","2.23","-","-0.52","2.23","-0.52","EUR","Jan 28, 2020","Jan 28, 2020"
"GERMANY (FEDERAL REPUBLIC OF) RegS","Treasuries","Fixed Income","755,742.79","1.28","755,742.79","600,000.00","-","DE0001135499","B7YJD46","125.17","Germany","-","USD","1.56","-0.69","0.83","Sep 04, 2022","1.50","1.56","-","-0.69","1.56","-0.69","EUR","Sep 07, 2012","Sep 04, 2012"
"UK CONV GILT RegS","Treasuries","Fixed Income","749,924.86","1.27","749,924.86","525,000.00","-","GB00B7L9SL19","B7L9SL1","141.81","United Kingdom","-","USD","1.55","-0.02","0.72","Sep 07, 2022","1.75","1.55","-","-0.02","1.55","-0.02","GBP","Jun 22, 2012","Jun 22, 2012"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","746,537.66","1.27","746,537.66","550,000.00","-","IT0004898034","B8887Z5","134.23","Italy","-","USD","2.13","-0.40","0.83","May 01, 2023","4.50","2.13","-","-0.40","2.13","-0.40","EUR","Mar 01, 2013","Mar 01, 2013"
"ISRAEL (STATE OF)","Treasuries","Fixed Income","735,988.21","1.25","735,988.21","2,125,000.00","-","IL0011267478","B8HHZX7","33.51","Israel","-","USD","2.02","0.10","3.25","Mar 31, 2023","4.25","2.02","-","0.10","2.02","0.10","ILS","Aug 07, 2012","Aug 07, 2012"
"AUSTRIA (REPUBLIC OF)","Treasuries","Fixed Income","718,431.08","1.22","718,431.08","550,000.00","-","AT0000A0U3T4","B7N9BK9","129.73","Austria","-","USD","1.76","-0.62","0.83","Nov 22, 2022","3.40","1.76","-","-0.62","1.76","-0.62","EUR","Jan 26, 2012","Jan 26, 2012"
"FINLAND (REPUBLIC OF)","Treasuries","Fixed Income","718,269.36","1.22","718,269.36","560,000.00","-","FI4000062625","B963VB3","126.77","Finland","-","USD","2.15","-0.68","0.83","Apr 15, 2023","1.50","2.15","-","-0.68","2.15","-0.68","EUR","Apr 16, 2013","Apr 16, 2013"
"IRELAND (REPUBLIC OF) RegS","Treasuries","Fixed Income","692,062.51","1.17","692,062.51","560,000.00","-","IE00BJ38CQ36","BJ38CQ3","122.70","Ireland","-","USD","1.09","-0.50","0.83","Mar 15, 2022","0.80","1.09","-","-0.50","1.09","-0.50","EUR","Jan 14, 2015","Jan 14, 2015"
"JAPAN (GOVERNMENT OF) 5YR #131","Treasuries","Fixed Income","680,814.57","1.15","680,814.57","71,000,000.00","-","JP1051311H38","BYX1R28","0.96","Japan","-","USD","1.11","-0.12","104.59","Mar 20, 2022","0.10","1.11","-","-0.12","1.11","-0.12","JPY","Mar 21, 2017","Mar 20, 2017"
"FINLAND (REPUBLIC OF)","Treasuries","Fixed Income","664,880.05","1.13","664,880.05","540,000.00","-","FI4000219787","BD72VP1","123.13","Finland","-","USD","2.61","-0.68","0.83","Sep 15, 2023","0.00","2.61","-","-0.68","2.61","-0.68","EUR","Sep 07, 2016","Sep 07, 2016"
"UK CONV GILT RegS","Treasuries","Fixed Income","660,453.28","1.12","660,453.28","475,000.00","-","GB00BD0PCK97","BD0PCK9","139.01","United Kingdom","-","USD","1.44","-0.02","0.72","Jul 22, 2022","0.50","1.45","-","-0.02","1.45","-0.02","GBP","Aug 03, 2016","Aug 03, 2016"
"SINGAPORE (REPUBLIC OF)","Treasuries","Fixed Income","638,627.67","1.08","638,627.67","800,000.00","-","SG3260987684","B9079T5","79.61","Singapore","-","USD","2.33","0.36","1.33","Jul 01, 2023","2.75","2.32","-","0.36","2.32","0.36","SGD","Jul 01, 2013","Jul 01, 2013"
"AUSTRALIA (COMMONWEALTH OF) RegS","Treasuries","Fixed Income","628,471.36","1.07","628,471.36","750,000.00","-","AU3TB0000051","B5SRJW2","83.49","Australia","-","USD","1.39","0.10","1.29","Jul 15, 2022","5.75","1.39","-","0.10","1.39","0.10","AUD","Apr 12, 2010","Jan 15, 2010"
"BELGIUM (KINGDOM OF)","Treasuries","Fixed Income","624,968.55","1.06","624,968.55","475,000.00","-","BE0000308172","B15C9P5","127.36","Belgium","-","USD","1.10","-0.64","0.83","Mar 28, 2022","4.00","1.10","-","-0.64","1.10","-0.64","EUR","May 24, 2006","May 24, 2006"
"NETHERLANDS (KINGDOM OF)","Treasuries","Fixed Income","618,871.84","1.05","618,871.84","485,000.00","-","NL0010060257","B6XKZ69","126.04","Netherlands","-","USD","1.41","-0.66","0.83","Jul 15, 2022","2.25","1.42","-","-0.66","1.42","-0.66","EUR","Feb 10, 2012","Feb 10, 2012"
"NETHERLANDS (KINGDOM OF)","Treasuries","Fixed Income","617,214.45","1.05","617,214.45","500,000.00","-","NL0012650469","BZ1DX03","123.44","Netherlands","-","USD","2.94","-0.69","0.83","Jan 15, 2024","0.00","2.95","-","-0.69","2.95","-0.69","EUR","Oct 13, 2017","Oct 13, 2017"
"SPAIN (KINGDOM OF)","Treasuries","Fixed Income","613,790.91","1.04","613,790.91","500,000.00","-","ES00000128O1","BYXJZD9","122.38","Spain","-","USD","1.22","-0.55","0.83","Apr 30, 2022","0.40","1.22","-","-0.55","1.22","-0.55","EUR","Jan 24, 2017","Jan 24, 2017"
"CANADA (GOVERNMENT OF)","Treasuries","Fixed Income","603,905.61","1.02","603,905.61","755,000.00","135087G73","CA135087G732","BD46015","79.64","Canada","-","USD","1.54","0.16","1.27","Sep 01, 2022","1.00","1.54","-","0.16","1.54","0.16","CAD","Apr 10, 2017","Apr 10, 2017"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","595,241.84","1.01","595,241.84","475,000.00","-","IT0005135840","BYNV6D2","124.60","Italy","-","USD","1.58","-0.42","0.83","Sep 15, 2022","1.45","1.58","-","-0.42","1.58","-0.42","EUR","Sep 15, 2015","Sep 15, 2015"
"FINLAND (REPUBLIC OF)","Treasuries","Fixed Income","589,531.27","1.00","589,531.27","467,000.00","-","FI4000047089","B89T821","125.45","Finland","-","USD","1.59","-0.67","0.83","Sep 15, 2022","1.63","1.59","-","-0.67","1.59","-0.67","EUR","Sep 04, 2012","Sep 04, 2012"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","586,856.70","0.99","586,856.70","475,000.00","-","IT0005366007","BJDRF50","123.46","Italy","-","USD","1.43","-0.43","0.83","Jul 15, 2022","1.00","1.43","-","-0.43","1.43","-0.43","EUR","Mar 15, 2019","Mar 15, 2019"
"JAPAN (GOVERNMENT OF) 10YR #332","Treasuries","Fixed Income","586,281.98","0.99","586,281.98","60,000,000.00","-","JP1103321DC2","BH57WF3","0.98","Japan","-","USD","2.84","-0.13","104.59","Dec 20, 2023","0.60","2.84","-","-0.13","2.84","-0.13","JPY","Dec 20, 2013","Dec 20, 2013"
"FRANCE (REPUBLIC OF) RegS","Treasuries","Fixed Income","582,503.70","0.99","582,503.70","475,000.00","-","FR0013479102","BL5HGW6","122.63","France","-","USD","2.06","-0.66","0.83","Feb 25, 2023","0.00","2.06","-","-0.66","2.06","-0.66","EUR","Jan 27, 2020","Jan 27, 2020"
"IRELAND (REPUBLIC OF) RegS","Treasuries","Fixed Income","579,327.74","0.98","579,327.74","474,000.00","-","IE00BDHDPQ37","BDHDPQ3","122.22","Ireland","-","USD","1.69","-0.61","0.83","Oct 18, 2022","0.00","1.70","-","-0.61","1.70","-0.61","EUR","Oct 11, 2017","Oct 11, 2017"
"AUSTRIA (REPUBLIC OF)","Treasuries","Fixed Income","577,566.10","0.98","577,566.10","470,000.00","-","AT0000A1PE50","BYYDFV8","122.89","Austria","-","USD","2.44","-0.64","0.83","Jul 15, 2023","0.00","2.44","-","-0.64","2.44","-0.64","EUR","Nov 02, 2016","Nov 02, 2016"
"SINGAPORE (REPUBLIC OF)","Treasuries","Fixed Income","573,482.66","0.97","573,482.66","720,000.00","-","SG7J28931946","B2485Q4","78.60","Singapore","-","USD","1.51","0.32","1.33","Sep 01, 2022","3.13","1.51","-","0.32","1.51","0.32","SGD","Sep 03, 2007","Sep 03, 2007"
"CANADA (GOVERNMENT OF)","Treasuries","Fixed Income","555,529.79","0.94","555,529.79","680,000.00","135087H49","CA135087H490","BYW6843","81.09","Canada","-","USD","2.01","0.21","1.27","Mar 01, 2023","1.75","2.01","-","0.21","2.01","0.21","CAD","Oct 06, 2017","Oct 06, 2017"
"SINGAPORE (REPUBLIC OF)","Treasuries","Fixed Income","534,508.57","0.91","534,508.57","690,000.00","-","SG31B8000001","BFYTV04","77.44","Singapore","-","USD","1.95","0.33","1.33","Feb 01, 2023","1.75","1.95","-","0.33","1.95","0.33","SGD","Feb 01, 2018","Feb 01, 2018"
"JAPAN (GOVERNMENT OF) 5YR #136","Treasuries","Fixed Income","528,869.67","0.90","528,869.67","55,000,000.00","-","JP1051361J76","BG208V6","0.96","Japan","-","USD","2.36","-0.13","104.59","Jun 20, 2023","0.10","2.36","-","-0.13","2.36","-0.13","JPY","Jul 11, 2018","Jun 20, 2018"
"AUSTRIA (REPUBLIC OF)","Treasuries","Fixed Income","513,328.38","0.87","513,328.38","420,000.00","-","AT0000A1XM92","BF16NF7","122.22","Austria","-","USD","1.62","-0.63","0.83","Sep 20, 2022","0.00","1.62","-","-0.63","1.62","-0.63","EUR","Sep 20, 2017","Sep 20, 2017"
"ISRAEL (STATE OF)","Treasuries","Fixed Income","510,319.48","0.87","510,319.48","1,635,000.00","-","IL0011581043","BJGTFK8","31.09","Israel","-","USD","1.46","0.06","3.25","Jul 31, 2022","0.75","1.46","-","0.06","1.46","0.06","ILS","Jun 04, 2019","Jun 04, 2019"
"FINLAND (REPUBLIC OF)","Treasuries","Fixed Income","503,468.88","0.85","503,468.88","413,000.00","-","FI4000242862","BDGJ2V6","121.90","Finland","-","USD","1.19","-0.65","0.83","Apr 15, 2022","0.00","1.19","-","-0.65","1.19","-0.65","EUR","Feb 15, 2017","Feb 15, 2017"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","498,201.18","0.84","498,201.18","400,000.00","-","IT0005215246","BYV25Y1","124.30","Italy","-","USD","2.67","-0.37","0.83","Oct 15, 2023","0.65","2.66","-","-0.37","2.66","-0.37","EUR","Sep 15, 2016","Sep 15, 2016"
"NETHERLANDS (KINGDOM OF)","Treasuries","Fixed Income","493,121.86","0.84","493,121.86","350,000.00","63982A9B5","NL0000102077","4283380","140.27","Netherlands","-","USD","1.88","-0.68","0.83","Jan 15, 2023","7.50","1.88","-","-0.68","1.88","-0.68","EUR","Jan 15, 1993","Jan 15, 1993"
"UK CONV GILT RegS","Treasuries","Fixed Income","483,840.73","0.82","483,840.73","350,000.00","-","GB00BL68HG94","BL68HG9","138.24","United Kingdom","-","USD","1.97","0.02","0.72","Jan 31, 2023","0.13","1.97","-","0.02","1.97","0.02","GBP","Apr 08, 2020","Apr 08, 2020"
"GERMANY (FEDERAL REPUBLIC OF) RegS","Treasuries","Fixed Income","448,797.81","0.76","448,797.81","350,000.00","-","DE0001102309","B9DK452","126.44","Germany","-","USD","1.98","-0.72","0.83","Feb 15, 2023","1.50","1.99","-","-0.72","1.99","-0.72","EUR","Jan 18, 2013","Jan 18, 2013"
"ISRAEL (STATE OF)","Treasuries","Fixed Income","448,518.80","0.76","448,518.80","1,400,000.00","-","IL0011550683","-","31.95","Israel","-","USD","2.76","0.14","3.25","Nov 30, 2023","1.50","2.76","-","0.14","2.76","0.14","ILS","Oct 09, 2018","Oct 09, 2018"
"GERMANY (FEDERAL REPUBLIC OF) RegS","Treasuries","Fixed Income","442,346.64","0.75","442,346.64","350,000.00","-","DE0001135473","B3YW1N2","125.11","Germany","-","USD","1.39","-0.67","0.83","Jul 04, 2022","1.75","1.39","-","-0.67","1.39","-0.67","EUR","Apr 13, 2012","Apr 13, 2012"
"ITALY (REPUBLIC OF)","Treasuries","Fixed Income","437,205.08","0.74","437,205.08","320,000.00","-","IT0004356843","B2QW2C9","136.50","Italy","-","USD","2.38","-0.40","0.83","Aug 01, 2023","4.75","2.38","-","-0.40","2.38","-0.40","EUR","Apr 16, 2008","Feb 01, 2008"
"AUSTRIA (REPUBLIC OF)","Treasuries","Fixed Income","429,467.30","0.73","429,467.30","350,000.00","-","AT0000A2EJZ6","BKSFFQ7","122.70","Austria","-","USD","2.20","-0.65","0.83","Apr 20, 2023","0.00","2.21","-","-0.65","2.21","-0.65","EUR","Apr 02, 2020","Apr 02, 2020"
"UK CONV GILT RegS","Treasuries","Fixed Income","421,608.35","0.71","421,608.35","300,000.00","-","GB00BF0HZ991","BF0HZ99","140.48","United Kingdom","-","USD","2.43","0.00","0.72","Jul 22, 2023","0.75","2.43","-","0.00","2.43","0.00","GBP","Jul 20, 2017","Jul 20, 2017"
"CANADA (GOVERNMENT OF)","Treasuries","Fixed Income","419,152.66","0.71","419,152.66","530,000.00","135087G32","CA135087G328","BYWYKB8","78.91","Canada","-","USD","1.05","0.14","1.27","Mar 01, 2022","0.50","1.05","-","0.14","1.05","0.14","CAD","Oct 11, 2016","Oct 11, 2016"
"ISRAEL (STATE OF)","Treasuries","Fixed Income","417,435.87","0.71","417,435.87","1,325,000.00","-","IL0011412256","BF3ZDP2","31.43","Israel","-","USD","1.79","0.08","3.25","Nov 30, 2022","1.25","1.79","-","0.08","1.79","0.08","ILS","Jul 11, 2017","Jul 11, 2017"
"GERMANY (FEDERAL REPUBLIC OF) RegS","Treasuries","Fixed Income","404,710.57","0.69","404,710.57","310,000.00","-","DE0001102325","BDV0151","129.37","Germany","-","USD","2.47","-0.73","0.83","Aug 15, 2023","2.00","2.47","-","-0.73","2.47","-0.73","EUR","Sep 13, 2013","Aug 15, 2013"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","398,337.53","0.68","398,337.53","305,000.00","-","IT0004759673","B4T85T6","127.91","Italy","-","USD","1.02","-0.42","0.83","Mar 01, 2022","5.00","1.02","-","-0.42","1.02","-0.42","EUR","Sep 01, 2011","Sep 01, 2011"
"ISRAEL (STATE OF)","Treasuries","Fixed Income","381,570.77","0.65","381,570.77","1,175,000.00","-","IL0011232720","B5KLS14","32.43","Israel","-","USD","0.98","-0.01","3.25","Jan 31, 2022","5.50","0.98","-","-0.01","0.98","-0.01","ILS","Apr 05, 2011","Apr 05, 2011"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","372,060.98","0.63","372,060.98","300,000.00","-","IT0005086886","BVG7H11","123.49","Italy","-","USD","1.18","-0.41","0.83","Apr 15, 2022","1.35","1.17","-","-0.41","1.17","-0.41","EUR","Feb 16, 2015","Feb 16, 2015"
"SPAIN (KINGDOM OF)","Treasuries","Fixed Income","371,346.41","0.63","371,346.41","300,000.00","-","ES0000012B62","BFY2QX1","123.56","Spain","-","USD","2.47","-0.51","0.83","Jul 30, 2023","0.35","2.47","-","-0.51","2.47","-0.51","EUR","May 22, 2018","May 22, 2018"
"ITALY (REPUBLIC OF)","Treasuries","Fixed Income","371,171.78","0.63","371,171.78","300,000.00","-","IT0005244782","BDZTV32","123.20","Italy","-","USD","1.13","-0.41","0.83","Apr 01, 2022","1.20","1.13","-","-0.41","1.13","-0.41","EUR","Mar 01, 2017","Mar 01, 2017"
"GERMANY (FEDERAL REPUBLIC OF) RegS","Treasuries","Fixed Income","368,699.14","0.63","368,699.14","300,000.00","-","DE0001141778","BG0PV81","122.90","Germany","-","USD","2.18","-0.72","0.83","Apr 14, 2023","0.00","2.19","-","-0.72","2.19","-0.72","EUR","Feb 02, 2018","Feb 02, 2018"
"FRANCE (REPUBLIC OF) RegS","Treasuries","Fixed Income","368,151.12","0.62","368,151.12","300,000.00","-","FR0013283686","BF51KN5","122.72","France","-","USD","2.13","-0.67","0.83","Mar 25, 2023","0.00","2.13","-","-0.67","2.13","-0.67","EUR","Sep 25, 2017","Mar 25, 2017"
"SPAIN (KINGDOM OF)","Treasuries","Fixed Income","360,841.36","0.61","360,841.36","260,000.00","-","ES00000123X3","B99L404","137.31","Spain","-","USD","2.62","-0.51","0.83","Oct 31, 2023","4.40","2.62","-","-0.51","2.62","-0.51","EUR","May 21, 2013","May 21, 2013"
"CANADA (GOVERNMENT OF)","Treasuries","Fixed Income","357,086.83","0.61","357,086.83","440,000.00","135087A61","CA135087A610","B8FF1Z7","80.93","Canada","-","USD","2.27","0.22","1.27","Jun 01, 2023","1.50","2.27","-","0.22","2.27","0.22","CAD","Jul 30, 2012","Jul 30, 2012"
"GERMANY (FEDERAL REPUBLIC OF) RegS","Treasuries","Fixed Income","353,549.92","0.60","353,549.92","290,000.00","-","DE0001141752","BDRJ356","121.91","Germany","-","USD","1.16","-0.66","0.83","Apr 08, 2022","0.00","1.17","-","-0.66","1.17","-0.66","EUR","Feb 03, 2017","Feb 03, 2017"
"UK CONV GILT RegS","Treasuries","Fixed Income","353,332.33","0.60","353,332.33","240,000.00","-","GB00B7Z53659","B7Z5365","145.89","United Kingdom","-","USD","2.50","0.01","0.72","Sep 07, 2023","2.25","2.49","-","0.01","2.49","0.01","GBP","Jun 12, 2013","Jun 12, 2013"
"CANADA (GOVERNMENT OF)","Treasuries","Fixed Income","338,963.09","0.57","338,963.09","415,000.00","135087ZU1","CA135087ZU15","B4888C1","81.26","Canada","-","USD","1.29","0.17","1.27","Jun 01, 2022","2.75","1.29","-","0.17","1.29","0.17","CAD","Aug 02, 2011","Aug 02, 2011"
"AUSTRIA (REPUBLIC OF) MTN","Treasuries","Fixed Income","310,771.19","0.53","310,771.19","240,000.00","-","AT0000A105W3","B92N786","128.84","Austria","-","USD","2.65","-0.63","0.83","Oct 20, 2023","1.75","2.66","-","-0.63","2.66","-0.63","EUR","Apr 17, 2013","Apr 17, 2013"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","309,853.12","0.53","309,853.12","250,000.00","-","IT0005405318","BLDRQG2","123.83","Italy","-","USD","2.34","-0.40","0.83","Jun 15, 2023","0.60","2.34","-","-0.40","2.34","-0.40","EUR","Mar 16, 2020","Mar 16, 2020"
"GERMANY (FEDERAL REPUBLIC OF) RegS","Treasuries","Fixed Income","305,764.31","0.52","305,764.31","250,000.00","-","DE0001104818","BMGWZK8","122.31","Germany","-","USD","1.61","-0.68","0.83","Sep 16, 2022","0.00","1.61","-","-0.68","1.61","-0.68","EUR","Aug 27, 2020","Aug 27, 2020"
"JAPAN (GOVERNMENT OF) 10YR #330","Treasuries","Fixed Income","294,679.64","0.50","294,679.64","30,000,000.00","-","JP1103301D90","BDD8L64","0.98","Japan","-","USD","2.58","-0.12","104.59","Sep 20, 2023","0.80","2.58","-","-0.12","2.58","-0.12","JPY","Sep 20, 2013","Sep 20, 2013"
"CANADA (GOVERNMENT OF)","Treasuries","Fixed Income","289,883.40","0.49","289,883.40","350,000.00","135087H98","CA135087H987","BF4JVV5","82.13","Canada","-","USD","2.48","0.24","1.27","Sep 01, 2023","2.00","2.48","-","0.24","2.48","0.24","CAD","Apr 06, 2018","Apr 06, 2018"
"FRANCE (REPUBLIC OF) RegS","Treasuries","Fixed Income","284,529.37","0.48","284,529.37","185,000.00","32703C9Y4","FR0000571085","4360078","145.63","France","-","USD","2.01","-0.64","0.83","Apr 25, 2023","8.50","2.02","-","-0.64","2.02","-0.64","EUR","Jan 27, 1992","Jan 27, 1992"
"ITALY (REPUBLIC OF) RegS","Treasuries","Fixed Income","278,906.44","0.47","278,906.44","180,000.00","77100D9W0","IT0000366655","4520496","151.94","Italy","-","USD","2.47","-0.34","0.83","Nov 01, 2023","9.00","2.46","-","-0.34","2.46","-0.34","EUR","Nov 18, 1993","Nov 01, 1993"
"JAPAN (GOVERNMENT OF) 2YR #419","Treasuries","Fixed Income","278,509.74","0.47","278,509.74","29,000,000.00","-","JP1024191LC8","-","0.96","Japan","-","USD","1.81","-0.13","104.59","Dec 01, 2022","0.10","1.81","-","-0.13","1.81","-0.13","JPY","Dec 01, 2020","Dec 01, 2020"
"SPAIN (KINGDOM OF)","Treasuries","Fixed Income","270,712.87","0.46","270,712.87","200,000.00","-","ES00000123U9","B9F7GF5","135.19","Spain","-","USD","1.93","-0.51","0.83","Jan 31, 2023","5.40","1.94","-","-0.51","1.94","-0.51","EUR","Jan 29, 2013","Jan 29, 2013"
"JAPAN (GOVERNMENT OF) 5YR #138","Treasuries","Fixed Income","269,569.37","0.46","269,569.37","28,000,000.00","-","JP1051381K12","BJ6VSV6","0.96","Japan","-","USD","2.86","-0.14","104.59","Dec 20, 2023","0.10","2.86","-","-0.14","2.86","-0.14","JPY","Jan 17, 2019","Dec 20, 2018"
